0,Дурак,Большой Взрыв,"Дурак символизирует Большой Взрыв, рождение нашей Вселенной. Согласно теории, Вселенная родилась в единственном взрыве неимоверной силы около 14 миллиардов лет назад. Вся материя образовалсь в первые секунды после взрыва (хотя звезды и галактики появились лишь через миллионы лет). Квантовый Дурак представляет что-то новое, что проявилось подобно бабочке, выпархивающей из своего тесного кокона. У Дурака нет страха, потому что у него нет жизненнго опыта. Он не видит опасности и также полностью открыт; нет ни предрассудков, ни скрытых планов. Все видится ему, как оно есть, даже если не хватает мудрости для полного понимания."
I,Маг,Электромагнитное Взаимодействие,"Электромагнитное взаимодействие проявляется между электрически заряженными или обладающими магнитным моментом частицами, но не напрямую, а посредством электромагнитного поля. В свою очередь, это поле порождает излучение во всех видах спектра, от видимого света, инфракрасных и ультрафиолетовых лучей, до радиоволн, потоков рентгентовского и гамма излучения. Квантовый Маг управляет энергией, придает ей форму и делает невидимое видимым. Он может создать что-то из кажущегося ничего, что является сутью магии. Маг приносит сознание и просветление, становится мостом между бессознательным и материальной реальностью. Когда бы мы ни творили, мы призываем его архетип."
II,Верховная Жрица,Слабое Взаимодействие,"Слабое взаимодействие контролирует странный и мистический процесс распада частиц. Когда частица распадается, он не исчезает, а переходит в две или более частицы меньшей массы. Однако мы не можем точно предсказать, где и как это случится, и какие новые частицы будут рождены. Верховная Жрица воплощает в себе эту непознаваемость мистерии. Она олицетворяет все тайное и скрытое в нашей жизни. Как и слабое взаимодействие — процесс невидимых перемен, Верховная Жрица действует позади сцены. Она требует обретения знания и мудрости через самопознание, зовя за пределы рациональности мышления и обозрения опыта."
III,Императрица,Гравитационное Взаимодействие,"Гравитация — это сила притяжения между объектами — от планет до людей. Каждый из нас притягивает другого, но настолько слабо, что мы этого не замечаем. На символическом уровне Императрица — это женский творческий принцип, власть притжения, влекущая людей друг к другу для творчества, как на уровне материальности, так и выше. Сила сексуального влечения неотвратимо заставляет продолжать свой род. И Императрица часто изображается беременной женщиной, несущей в себе недавно зачатую жизнь. Это означает что-то в нашей жизни, что еще только развивается и требует нашей поддержки и защиты."
IV,Император,Сильное Взаимодействие,"Сильное взаимодействие удерживает вместе частицы, составляющие ядро атома. Без него не могла бы существовать материя, ибо атомы бы просто распались на части. Не было бы звезд, планет или галктик, даже вселенной, как мы ее представляем. Император, как сильное взаимодействие, удерживает все вместе в упорядоченном функционирующем целом. Он олицетворяет лидерство и власть. Хотя часто эта карта представляет людей, играющих похожую роль в нашей жизни, Император также символизирует сознательную волю — что Фрейд называл сверхэго."
V,Верховный Жрец,Законы Движения Ньютона,"Три закона движения Ньютона лежат в основании современной науки. До появления теории относительности Эйнштейна они считались универсальными и абсолютными. Три закона описывают взаимодействие физических объектов, сил, действующих на них, и их состояние в окружающем пространстве. Верховный Жрец представляет собой духовную традицию, и в старых колодах Таро изображался римским Папой. В Квантовом Таро эту роль играет Исаак Ньютон, теории которого являются традиционной основой, на которой построена физика 20 и 21 века. Верховный Жрец требует от нас признания и уважения к традициям. Его власть может быть менее явная, чем власть Императора, но за его спиной мудрость, накопленная в течение многих поколений. Он предлагает нам прочную основу для наших начинаний. Однако мы должны быть внимательными и не допустить того, чтобы эта прочность и твердость превратились в окостенелость и непримиримость к новому."
VI,Влюблённые,Теория Гравитации Ньютона,"Было давно известно, что гравитация — это сила притяжения. Однако только Ньютон предложил научную теорию для ее описания. Он показал, что гравитационная сила пропорциональна массе или массам взаимодействующих объектов. По сравнению с тремя другими фундаментальными взаимодействиями, гравитация слаба и начинает оказывать заметное влияние лишь в масштабах планет или звезд. Как две звезды в бинарной системе, Любовники находятся во взаимном танце эмоционального физического и духовного притяжения. Эта карта показывает, что вас сильно тянет к кому-то. Нравится вам это или нет, но силы притяжения вовлекли вас во взаимоотношения."
VII,Колесница,Специальная Теория Относительности,"Теория относительности Эйнштейна кардинально изменила наше видение мира. Специальная теория относительности показала, что пространство и время не являются абсолютными. Например, если вы находитесь в очень быстром поезде, то время для вас проходит быстрее, чем для того, кто неподвижен. Просто разница настолько мала, что мы не замечаем ее. Только при скоростях, близких к свету, разница в течении времени становится существенной. Колесница традиционно изображает человека, пытающегося управлять колесницей с двумя лошадьми. Лошади связаны, как и пространство и время, хотя могут и схватываться друг с другом. Эта карта проявления собственной воли, борьбы за контроль над нашими неуправляемыми желаниями и противоречивостью натуры. Если Колесница появляется в раскладе, то мы достигли определенного уровня мастерства в самоконтроле. Колесница означает тяжело заработанную зрелость."
VIII,Сила,Общая Теория Относительности,"В общей теории относительности Эйнштейн показал влияние массивных объектов, таких как планеты и звезды, на структуру пространства-времени. Специальная теория относительности еще раньше связала пространство и время, а общая теория указала на влияние, которое оказывает на время гравитация. Очень массивные объекты, например звезды, создают искривление в пространстве-времени, наподобие тяжелого шарика, продавливающего натянутую резиновую мембрану. Черные дыры, наиболее массивные объекты в нашей вселенной, создают вокруг себя настолько сильное искажение пространства-времени, что даже свет не может вырваться наружу. Сгибание пространства-времени вокруг массивных объектов можно сравнить с нежной мощью карты Сила. Часто изображаемая как женщина, мягко укрощающая льва, эта карта показывает не грубую силу, а упорное и любящее приложение личной силы. Секрет карты Сила заключен в сострадании; женщина управляет львом без принуждения и насилия."
IX,Отшельник,Элементарные Частицы,"Около ста лет назад ученые думали, что атомы являются мельчайшими частицами материи, и представляли их в виде твердых маленьких шариков. Однако первые десятилетия 20 века ознаменовались чередой открытий: атомы оказались не фундаментальными частицами, а чем-то наподобие миниатюрных солнечных систем с ядром из протонов и нейтронов и отрицательно заряженными электронами, вращающимися по орбитам вокруг этого ядра. 60-e годы 20 века принесли новые открытия. Оказалось, что протоны и нейтроны также не фундаментальны, а в свою очередь состоят из еще более мелких частиц, названных кварками. Квантовый отшельник представляет идею скрытого мира, ожидающего открытия. Он направляет свет в тайные закоулки и ведет нас прочь от скопления людей к размышлениям и созерцанию. Карта может означать явный уход от мира или более тонкое перенаправление внимания с повседневной активности к глубинным таинствам внутреннего мира."
X,Колесо Фортуны,Квантовая Механика,"Квантовая механика пытается объяснить парадоксальную природу внутреннего мира. Существует фундаментальная разница между двумя типами явлений; волнами и частицами. Частицы могут находиться только в одном месте в определенный момент времени. Волны же размазаны в пространстве, подобно волнению моря. Их нельзя привязать к конкретному положению в пространстве, и при их описании пользуются такими характеристиками, как размер (амплитуда) и частота (вспомните радиоволны).</p><p>Однако внутри атома различие между частицей и волной пропадает. Элементарные частицы могут вести себя и как волны, и как частицы, в зависимости от способа их наблюдения. Например, свет ведет себя, как волна при наложении потоков света от двух источников. Две световые волны при взаимодействии друг с другом порождают явление интерференции, наподобие кругов на воде. Однако, как отметил Эйнштейн, свет может также проявляться как поток мельчайших частиц — фотонов.^Он доказал это в своем объяснении фотоэлектрического эффекта (появление электротока в металлической платине при ее освещении). Это возможно лишь при рассмотрении света как потока частиц, ударяющих в поверхность металла и возбуждающих и высвобождающих там электроны, формирующие электроток.</p><p>Какое это имеет отношение к Колесу Фортуны? Хотя бы то, что квантовая механика ввела в физику идею шанса и вероятности. Можно лишь утверждать, что элементарная частица имеет определенную вероятность нахождения в определенном месте в определенное время, но не более того. Вне физики понятие шанса и вероятности не вляются новыми. Колесо Фортуны знакомо нам под многими обличиями, от древней римской богини Фортуны до игральной рулетки. Это символ влияния кажущихся нам внешними сил, таких как судьба или удача, на события нашей жизни. Но, возможно, у нас есть альтернатива. Даже в самой тяжелой ситуации у нас остается право выбора. Почему бы не взять да не сойти с колеса?^Мы решаем, выбрать жизнь жертвы случайностей и болтаться во власти колеса, как носок в стиральной машине, или, высоко взлетев в своем осознании, полностью покинуть эту детскую карусель."
XI,Правосудие,Постоянная Планка,"Понятие квант в физику ввел немецкий ученый Макс Планк. Он пытался понять механизмы излучения электромагнитных волн горячими объектами и в 1900 году вывел полуэмпирическую формулу. В процессе теоретического обоснования своей формулы Планк пришел к ошеломляющему выводу, что уравнение справедливо только при одном совершенно новом допущении, что при излучении энергия испускается или поглощается не непрерывно и не в любых количествах, а лишь неделимыми порциями — квантами. При этом энергия кванта пропорциональна частоте колебания и новой фундаментальной постоянной, позже названной в его честь постоянной Планка. Это чрезвычайно маленькое число сыграло огромную роль в развитии квантовой теории. Постоянная Планка помогла описать процесс, на первый взгляд кажущийся противоречивым. Так и карта Правосудие вносит ясность и истинность в кажующуюся противоречивость, запутанность и беспорядочность."
XII,Повешенный,Принцип Неопределенности,"В 1927 году немецкий физик Вернер Гейзенберг сформулировал в математическом виде принцип неопределенности, возникший из необходимости учета того, что наблюдение за элементарной частицей оказывает воздействие на нее. В описание квантового объекта, его состояния и поведения участвовала постоянная Планка (смотри карту Правосудие) и использовалась теория вероятности, не дававшая однозначности классической физики. В физике того времени, привыкшей мыслить точными и незыблемыми понятиями, не хотели принимать идею того, что на фундаментальном уровне все в нашей вселенной зыбко и неопределенно. Карта Повешенный отражает это состояние глубокого замешательства, когда старые подходы к жизни и мышлению больше не работают. Главное, уметь сознательно отказаться от всего того, что мешает достижению высокой цели. Карта символизирует трудный момент, когда старое добровольно отвергнуто, а новое еще не проявилось."
XIII,Смерть,Материя и Антиматерия,"У каждой частицы есть соответствующая ей античастица, имеющая электрический заряд, противоположный заряду парной ей частицы. При столкновении частицы и античастицы аннигилируются, превращаясь в чистую энергию. Есть теория, что при образовании вселенной появилось почти одинаковое количество материи и антиматерии, но из-за незначительного преобладания материи, после процессов аннигиляции, осталась вселенная, состоящая только из материи.</p><p>Материя и антиматерия исчезают при контакте, но от этого взрыва рождается новая энергия и новые формы, что является небольшой частью процесса бесконечного обновления нашей вселенной. Смерть представляет разрушительную сторону этого циклического процесса. Как человеческие существа мы постоянно изменяемся и адаптируемся к окружающему миру, но при этом, как это ни парадоксально, мы также противимся переменам, даже если они ведут к лучшему."
XIV,Умеренность,Суперсимметрия,"Теория суперсимметрии, образно говоря, описывает переход вещества в излучение и наоборот. Это не выполняется для известных в природе частиц. Предполагается, однако, что существует энергетический предел, за которым квантовые поля, описывающие вещества и излучение, подчиняются суперсимметричным преобразованиям.</p><p>Суперсимметрия вначале разрабатывалась для соединения двух несовместимых теорий: квантовой механики и релятивистской теории гравитации Эйнштейна. Карта Умеренность символизирует идею смешения различных, зачастую противоречащих друг другу элементов. Традиционно на карте Умеренность изображался ангел, переливающий жидкость из одного сосуда в другой, что характеризует очищающий процесс внутреннего развития и роста. Мы постоянно смешиваем, разделяем и снова перемешиваем различные части своего Я, и когда появляется карта Умеренность, то она указывает, что мы находимся в особенно неустойчивом переходном состоянии."
XV,Дьявол,Черная Дыра,"Черные дыры имеют гигантскую плотность и генерируют такое мощное гравитационное поле, что ничто, даже свет, не может от них ускользнуть. Дьявол характеризует любую могущественную, непреодолимую силу, которая затягивает вас. Это может быть другой человек, слава или богатство. Попав в ловушку, мы поймем, что заплатили слишком дорого, отказавшись от свободы, за свои новые богатства. Дьявол символизирует все виды отношений, связанных с принуждением и контролем. Ключевое значение карты — это дисбаланс силы; когда мы пребываем в чьей-то власти, то появляется Дьявол. Если копнуть глубже, то под дисбалансом силы обнаружится обширный резервуар энергии, застрявшей там. Нам брошен вызов нахождения способа ее освобождения."
XVI,Башня,Квантовая Пена,"Концепция квантовой пены выросла из попытки соединить общую теорию относительности Эйнштейна с принципом неопределенности квантовой физики. В результате пришли к хаотичности и непредсказуемости пространства-времени в масштабах атома и меньше. Так появилась квантовая пена, с микроскопическими черными дырами и проколами пространства, образующимися и исчезающими с огромной скоростью.</p><p>Странный и устрашающий мир, разительно отличающийся от видимой стабильности окружающего нас мира, дает превосходный образ для карты Башня. Башня символизирует разрушение и потрясение, разрыв непрерывности нашей жизни. Это сложная, но не негативная карта. После потрясения, следюущего за выходом из зоны комфорта, мы часто осознаем ограниченность нашего старого пути и пробуждаемся к позитивной стороне послания Башни — свободе. Удар молнии может быть вспышкой озарения или вдохновения, наполняющий нас неожиданным интуитивным пониманием."
XVII,Звезда,Теория Струн,"Квантовая теория и общая теория относительности — два ключевых прорыва в физике 20 века — привели к революции в нашем миропонимании. Но есть проблема: они не работают совместно. Первая прекрасно описывает микроскопический мир атома, а вторая — хороша в описании громадной вселенной. Теория струн предлагает реальную возможность объединения двух идей.</p><p>В стандартной модели физики элементарные частицы представляются в виде мельчайших точек. Теория струн меняет эти точки на вибрирующие петли и струны. Однако струны настолько малы, что пока нет никакой возможности их увидеть или измерить, так что теория струн пока не может быть доказана или опровергнута. Теория струн предлагает реальную надежду на более целостное понимание нашей вселенной. Так и карта Звезда говорит о возможности и надежде. Это карта духовного пробуждения, расширения сознания и видения. Мы осознаем безграничность энергии вселенной, текущей через все, включая нас самих."
XVIII,Луна,Дополнительные Мерности,"Если теория струн правильна (Звезда), то все фундаментальные частицы во вселенной состоят из струн и петель, вибрирующих с различными частотами. Начальные варианты теории струн говорили лишь о струнах с одним измерением, но в дальнейшем теория струн предположила, что струны могут вибрировать в десяти измерениях. Помимо трех измерений пространства и одного измерения времени, теория утверждает о существовании еще шести измерений, свитых вместе и сжатых в очень ограниченном пространстве. Cтруны наматываются вокруг этих завитых пространственных мерностей наподобие коврового плетения.</p><p>Эти недоступные дополнительные мерности напоминают дополнительные слои нашей жизни: намеки, предчувствия, движения, видимые лишь уголком нашего глаза. Луна и представляет эту сферу тайного и незнакомого, что часто страшит тех, кто привык к ясности во всем. Луна появляется в раскладе, когда что-то необъяснимое в нашем сознании требует к себе внимания, и что наш разум может воспринимать как угрозу."
XIX,Солнце,М-теория,"Теория струн (смотри карту Звезда), предположила, что фундаментальные частицы — это в действительности микроскопические струны, вибрирующие в одном измерении. Теория суперструн расширила эти вибрации до 10 измерений (смотри карту Луна). Но затем физики уперлись в проблему: появилось пять основных версий теории, и все они давали правильное описание процесов. М-теория объединила все эти пять версий, оказавшихся разными аспектами одной и той же теории.</p><p>М-теория продемонстрировала мощный толчок, продвинувший теоретическую физику на один шаг ближе к пониманию природы вселенной. Объединение пяти разнородных элементов в единую всеохватывающую теорию похоже на функцию карты Солнце, объединяющую различные аспекты нашего я. Когда солнце выпадает в раскладе, это означает, что мы достигли такого уровня сознания, когда все наши внутренние голоса поют в гармонии. Мы стали на шаг ближе к проявлению своего истинного Я."
XX,Страшный Суд,Мультивселенная,"Мультивселенная — это теория, где физика начинает напоминать фантастический роман. Эта очень умозрительная теория предполагает, что вместо одной вселенной, возможно, существует множество вселенных. Эти вселенные могут быть связаны друг с другом, а могут быть и полностью независимыми. Они могут иметь, а могут и не иметь одинаковые законы. Одна из версий теории утверждает, что вселенные зарождаются как черные дыры, и наша вселенная родилась как черная дыра в другой вселенной.</p><p>Идея мультивселенной сложна для понимания. Даже одну бесконечную вселенную трудно представить, не говоря уже о множестве. Мы ощущаем ограниченность нашего воображения, когда сталкиваемся с подобными идеями. Карта Суд бросает нашему разуму похожую по сложности проблему. Мы должны расти в осознании и пробуждаться к новым уровням реальности. Иногда это может быть болезненное пробуждение из-за ослепительной мощи света осознания."
XXI,Мир,Теория Всего,"Теория Всего это единственная, согласованная теория, описывающая все явления и процессы во вселенной. Многие ученые, включая Эйнштейна, пытались и не могли разработать такую теорию, и она остается эквивалентом Святого Грааля. Всеобщая теория должна объединить квантовую теорию и теорию относительности, а также объяснить большое разнообразие элементарных частиц. Современным претендентом на эту роль является М-теория (смотри карту Солнце). Мы ограниченные существа, но наше воображение охватывает бесконечность. Карта Правосудие показывает процесс пробуждения к безграничному миру. Карта же Мир демонстрирует следующий шаг; познание безграничности вселенной, несмотря на ограниченность нашего существования. Традиционно на карте Мир рисуют фигуру обнаженного андрогена, танцующего в пространстве, окруженном круговым венком. Танцор Мира демонстрирует способность быть счастливым в материальной жизни, одновременно осознавая все незримые бесконечные уровни бытия."
,Туз Пентаклей,Глюон,"Глюоны — это частицы-переносчики сильного взаимодействия, связывающего в единое целое ядра атомов. Туз Пентаклей показывает начало нового проекта. Единственный Пентакль — это краеугольный камень, начало проявления чего-либо нового в нашем мире."
,Двойка Пентаклей,Спин,"Спин — это одна из характеристик элементарных частиц. Частицы конечно же не вращаются вокруг своей оси, но имеют определенный момент вращения, который является важной частью квантовой теории. Странное поведение элементарных частиц отражается в характерном для 2-ки Пентаклей качестве неустойчивости. Здесь энергия двух проявляется как ощущение нерешитепьности «может, да, а может, нет». Дуальность проявлена открыто; мы поставлены перед выбором «так или иначе» или мы жонглируем вариантами. Все «подвешено в воздухе»; результат пока не определен."
,Тройка Пентаклей,Структура Атома,"Атом состоит из различных элементарных частиц; ядро из протонов и нейтронов (в свою очередь состоящих из кварков, связанных глюонами) вокруг которого вращаются электроны. Простая и элегантная структура атома может нам помочь в создании прочного и подходящего основания для наших творческих начинаний. 3-ка Пентаклей переводит волнующее видение 3-ки Посохов в конкретный план действий."
,Четвёрка Пентаклей,Эллиптическая Галактика,"Из-за своей старости эллиптические галактики содержат множество умирающих звезд. Новые звезды не рождаются, так как почти все звездное топливо уже использовано, и развитие практически приостанавливается. 4-ка Пентаклей проявляет подобное сворачивание энергии из-за упрямого нежелания изменить существующий порядок вещей. Фиксирующая энергия четырех становится чересчур сковывающей в земной масти Пентаклей. Эта карта показывает неприятие поступательного движения и отторжение необходимости перемен, ведущее к страхам нехватки чего-либо и ощущению стагнации."
,Пятёрка Пентаклей,Лептоны,"Существует шесть разновидностей лептонов. Наиболее распространенным является электрон, входящий в состав атома. Две других разновидности, мюон и тау-лептон, крайне нестабильны и быстро распадаются, переходя в другие частицы. Три оставшихся являются разновидностями нейтрино, из которых самой стабильной является электронное нейтрино. Масса нейтрино пренебрежимо мала. Нейтрино свободно пронзают просторы вселенной, а электроны, в основном, связаны в атомах. Этот контраст между свободой и ограниченностью выражает энергию конфликта пяти в Пентаклях. Здесь битва идет против самой физической реальности. Часто это проявляется в виде ощущения нехватки или скудости. Мы, возможно, в состоянии представить бесконечность и изобилие, но материальная реальность имеет свои границы. Эта карта символизирует борьбу, которая происходит в нас, когда наш безграничный дух сталкивается с очень ограниченной природой материальности."
,Шестёрка Пентаклей,"Адроны, барионы и мезоны","Адроны, барионы и мезоны состоят из различных сочетаний кварков. Адроны — это общее название барионов и мезонов. Барионы (протоны и нейтроны) составляют ядро атома. Мезоны состоят из кварка и антикварка и очень нестабильны. Адроны являются основой всей материи вселенной. Как и кварки, мы не существуем сами по себе, а формируем группы и образования, такие как семьи, общества, культуры. Мы зависим от других, а другие зависят от нас В 6-ке Пентаклей гармоническая энергия шести проявляется в материальном мире, как даяние и получение. Это карта как филантропа, так и нуждающегося человека. Баланс поддерживается готовностью тех, у кого больше чем достаточно, поделиться своим богатством, и готовностью нуждающихся в нем открыться и быть готовыми получить. Внутренняя гармония проистекает из баланса между даянием и принятием."
,Семёрка Пентаклей,Кварки,"Кварки — это строительные блоки нашего мира, фундаментальные частицы, составляющие протоны и нейтроны атомного ядра. Без них не было бы атомов и, соответственно, материи во вселенной. Кварки имеют шесть разновидностей («ароматов»), но лишь две из них стабильны — верхний и нижний кварки. Другие же четыре — очарованный и странный, прелестный и истинный — быстро распадаются в более легкие разновидности. 7-ка Пентаклей описывает ситуацию, в которой мы собрали все необходимое. Часто на карте изображен урожай, напоминающий нам об изобилии ресурсов и возможностей. Воинственная энергия семи приземлена в Пентаклях. Средства достижения успеха у нас в руках, и нам предлагают принять это во внимание."
,Восьмёрка Пентаклей,Образование Галактики," Галактики образовались на ранних этапах формирования вселенной и знание этого процесса до сих пор ограничено. Однако мы можем видеть их образование, наблюдая за очень дальними галактиками через мощные телескопы, как, например, Хаббл. В связи с огромной удаленностью этих галактик свет от них идет к нам миллиарды лет, и мы видим их такими, какими они были во времена первых шагов образования вселенной. Формирование галактик — длительный процесс и требует значительного времени. 8-ка Пентаклей описывает это понятие процесса, напоминая нам, что спешить нельзя. Традиционно на карте изображается подмастерье в мастерской, оттачивающий свои навыки. Мы собираем вместе все наши способности и применяем их для решения творческой задачи, приобретая мастерство в материальном мире."
,Девятка Пентаклей,Квазар,"Квазары это яркие, таинственные объекты, находящиеся в центре галактик. Они генерируют энергию в триллионы раз превышающую энергию нашего Солнца, и она очень изменчива во всех диапазонах длин волн. Принято полагать, что источником квазаров являются сверхмассивные черные дыры, расположенные в центрах галактик. 9-ка Пентаклей представляет человека, собравшего огромную энергию, источник которой неясен. Это карта независимости и финансовой защищенности, но не все заключается в деньгах. 9-ка Пентаклей говорит о самодостаточности и независимости во всех областях жизни."
,Десятка Пентаклей,Солнечная Система,"Солнечная система состоит из солнца, девяти известных планет и пояса астероидов. По всей видимости, планеты образовались из пылевого облака, оставшегося после рождения солнца, так что в каком-то смысле они все «родственники». Солнечная система представляет собой гармоничную семью, обычно изображаемую на 10-ке Пентаклей. Все планеты (за исключение Плутона, впрочем, недавно потерявшего статус планеты) вращаются в одной плоскости и в одну сторону. Как и семья из нескольких поколений, делящая общность крови, планеты делят солнечное питание и поддержку, но в остальном мало похожи друг на друга. Эти десять далеки от гармоничной удовлетворенности 10-ки Чаш. В 10-ке Пентаклей присутствуют напряженность и несовершенство, и счастье достигается через терпимость и компромисс."
