0,Дурак,Большой Взрыв,"Дурак символизирует Большой Взрыв, рождение нашей Вселенной. Согласно теории, Вселенная родилась в единственном взрыве неимоверной силы около 14 миллиардов лет назад. Вся материя образовалсь в первые секунды после взрыва (хотя звезды и галактики появились лишь через миллионы лет). Квантовый Дурак представляет что-то новое, что проявилось подобно бабочке, выпархивающей из своего тесного кокона. У Дурака нет страха, потому что у него нет жизненнго опыта. Он не видит опасности и также полностью открыт; нет ни предрассудков, ни скрытых планов. Все видится ему, как оно есть, даже если не хватает мудрости для полного понимания."
,Паж Пентаклей,Волопас,"В созвездии Волопаса находится звезда Арктур, являющаяся одной из самых ярких на небе. В греческой мифологии Волопас больше известен как Аркад, помещенный Зевсом на небо охранять свою мать, нимфу Каллисто, превращенную Герой в медведицу (созвездие Большой медведицы). Поэтому и называют Аркада «стражем медведицы», что по-древнегречески означает Арктурус. В другой версии Волопас был помещен на небо богами за изобретение плуга. Эта земная практичность прекрасно символизируется Пажом Пентакпей, воплощающим в себе качества внимательного и прилежного студента. Этот паж еще не набрался опыта, но он устремленный и упорный. Он означает подготовку нового проекта и последующую его длительную поддержку и развитие."
,Рыцарь Пентаклей,Центавр,"Созвездие Центавра расположено в южном полушарии и содержит много ярких звезд и других небесных объектов. В нем находится ближайшая к нам звезда Проксима Центавра, двойная звезда Альфа Центавра и галактика Центавр А, наверное, включающая в себя черную дыру. Созвездие изображает кентавра Хирона — архетипа учителя в греческой мифологии. Хирон  знаменит тем, что был наставником героев Ясона и Геркулеса, а также опытным лекарем. Раненый случайной стрелой Геракла, он не смог вылечить себя, но стал при этом еще мудрее. Рыцарь Пентаклей разделяет многочисленные достоинства Хирона, особенно терпение и силу духа. Он более флегматичен, чем другие рыцари, зато доделывает свои начинания до самого конца. Неспешным, спокойным шагом он идет вперед."
,Королева Пентаклей,Земля,"Земля уникальна в Солнечной системе. Она породила многообразие живого. Ее поверхность на 7О% покрыта водой, а атмосфера состоит из 78% азота и 21% кислорода. Эта комбинация фактов, особенно наличие воды, является основой для поддержания жизни. Наша планета включает в себя множество очень сложных и взаимосвязанных систем, которые совместно поддерживоют комфортабельную среду обитания. Во многих мифах Земля описывается как материнское начало; например, греческая Гея. Королева Пентаклей — это похожая заботливая, материнская фигура‚ символизирующая бесконечное плодородие природного мира. Она вмещает в себя земную энергию Пентаклей и явпяется повитухой и щедрой матерью всех наших планов."
,Король Пентаклей,Сатурн,"Сатурн — это большая газообразная планета, атмосфера которой состоит в основном из водорода и гелия. Его знаменитые кольца простираются на тысячи километров и состоят преимущественно изо льда. Римский бог Сатурн был отцом Юпитера и отличался скверной привычкой поедания своих детей. Король Пентаклей не менее могущественный правитель, но обычно он более благородный в своих действиях. Он изворотливо и умело использует свои физические и финансовые ресурсы, и мы можем рассчитывать на его искушенность в бизнесе."
,Туз Чаш,Гравитон,"В соответствии со своим именем, теоретически гравитон является переносчиком гравитации. Существование гравитонов остается неподтвержденным. Туз Чаш символизирует рождение новых эмоций, раскрытие сердца. Его рисунок, текущий, как вода, отражает безграничную природу чистого сострадания."
,Двойка Чаш,Бинарные системы,"Бинарными называют стабильные системы из двух звезд, соединенных вместе силами гравитации, и вращающихся по орбитам вокруг общего центра тяжести. Чаши — это мир эмоций, и 2-ка Чаш часто означает влюбленность и начало отношений. Однако эта карта может обозначать любую другую встречу разумов или сердец, говоря о дружбе или бизнес-партнерстве."
,Тройка Чаш,Звездные Скопления,"Звезды часто объединяются в плотные и красивые скопления, переплетая свои гавитационные поля. Так, судьба одной звезды оказывает влияние на остальные звезды скопления, и наоборот. Наиболее известно скопление Плеяды, видимое невооруженным взглядом в созвездии Ориона. Взаимное влияние звезд скопления отражается в совместной, групповой деятельности 3-ки Чаш. Это карта близких друзей и сотрудников, групповая энергия которых может проявиться во всем, от вечеринки до работы над совместным проектом."
,Четвёрка Чаш,Дополнительные элементарные частицы,"Атомы состоят из фермионов и глюонов. Фермионы же состоят из кварков и лептонов. Насчитывается шесть разновидностей кварков и шесть лептонов, то есть двенадцать элементарных частиц, однако атомы состоят лишь из двух кварков и одного лептона. Оставшиеся кварки и лептоны нестабильны и быстро распадаются в эти три основополагающие частицы. В чем смысл существования дополнительных элементарных частиц? Никто не знает. Похожее ощущение ненужности и разочарованности характерно для 4-ки Чаш, когда хорошего слишком много. В Чашах тяжелая энергия четырех проявляется в пассивности и приводит к скуке и застою."
,Пятёрка Чаш,Распад элементарных частиц,"В действительности частицы не разваливаются в буквальном смысле. Они преобразуются в более легкие частицы под воздействием слабого взаимодействия. Это необратимый процесс — частицы не могут вернуться к своему начальному состоянию. В Чашах воинственная энергия пяти проявляется как гнетущее ощущение потери. В любом конфликте есть победитель и побежденный, и карта 5-ка Чаш сосредоточена на потерях. Это карта понимания и принятия окончательности потери, но при этом она мягко напоминает нам о том, что мы еще можем выиграть."
,Шестёрка Чаш,Гравитационные линзы/Дальние Галактики,"Галактики, удаленные от нас на миллионы световых лет, могут казаться ближе, чем есть на самом деле, из-за так называемых гравитационных линз. Большие галактические скопления, обладающие гравитационным полем огромной силы, искривляют свет, идущий от еще более дальних галактик, наподобие обычной увеличивающей линзы, заставляя их казаться ближе. Карта 6-ка Чаш — это карта ностальгии. Страстная привязанность к событиям прошлого искажает их наподобие гравитационной линзы и заставляет казаться лучше, чем они были на самом деле. Просмотр прошлого хорош до того момента, пока мы не теряемся в его романтизации и не уходим в него от реальности сегодняшнего дня."
,Семёрка Чаш,Красный Гигант,"Красный гигант выглядит красочной и внушительной звездой, но на самом деле умирает. Драматические облака красной пыли скрывают выгоревшее и коллапсирующее ядро звезды. Размер звезды иллюзорен, и иллюзия лежит в основе 7-ки Чаш. Это карта мечтаний, воображения и фантазии. Наш изворотливый разум в состоянии наколдовать множество видений и мечтаний, но мы упорно стараемся отделить истинное вдохновение от иллюзий, навеянных страхами и привязаннотями. 7 Чаш призывают нас выделить в наших мечтах и видениях истинное и чистое."
,Восьмёрка Чаш,Радиоактивный распад,"Хотя большинство атомных ядер стабильно, более тяжелые ядра имеют тенденцию к распаду. Сильное взаимодействие связывает части ядра в целое, но при этом они все время находятся в возбужденном состоянии. Есть небольшой шанс, что группа из двух протонов и нейтронов (известных как альфа-частица) может отделиться. 8-ка Чаш отражает это волнующее желание к отделению. Синтетичность восьми знаменует новый уровень эмоциональной зрелости и может проявиться в желании покинуть нездоровую ситуацию или взаимоотношения. Груда из 8 Чаш символизирует старые эмоции, которые необходимо оставить позади."
,Девятка Чаш,Рождение Звезды,"Звезды рождаются при конденсации газопылевого облака, называемого туманностью. Со временем облако набирает массу, становится плотнее и плотнее. Этот процесс ускоряется и приводит к зажиганию реакции термоядерного синтеза. Туманности, многоцветные и изобилующие звездным топливом, являются местом бурной активности. Так и 9 Чаш дают ощущение блаженного изобилия. Это карта удачи, когда нам кажется, что мы можем иметь все. Положительная сторона достигает своего апофеоза в этой карте, но не забывайте следать за тем, чтобы удовлетворенность собой не перешла в самодовольство."
,Десятка Чаш,Спиральная Галактика,"Наша галактика, Млечный Путь, является спиральной с шарообразным ядром и длинными, закручивающимися наподобие спирали рукавами, содержащими миллиарды звезд. Эти рукава насыщены разнообразной активностью. В них рождаются и умирают звезды. Срок жизни галактик огромен, и подобное длительное счастье символизируют 10-ка Чаш. Это постоянная и ровная удовлетворенность счастливого брака, а не опьяняющее возбуждение краткосрочной связи. 10 Чаш — одна из наиболее благоприятных карт колоды, предсказывающая эмоциональное удовлетворение длительностью в жизнь."
,Паж Чаш,Змееносец,"Созвездие Змееносца переплетено с другим созвездием — Змей. Часто его связывают с древнегреческим богом медицины Асклепием, познавшим науку целительства, наблюдая за змеем, приносившим целебные травы. Зевс убил его своей молнией за способность воскрешать мертвых, но потом поместил на небеса, признавая его достижения в целительстве. Асклепий был открыт к получению информации от природы (змеи), что позволило ему развить свои способности к лечению до уровня, кажущегося магическим. Паж Чаш символизирует эту открытость и целительские способности. Паж еще не применил свои навыки на практике, но его открытость и восприимчивость позволяют ему впитывать информацию на уровне интуиции."
,Рыцарь Чаш,Персей,"Созвездие Персея большое по размерам и хорошо известно благодаря двойной звезде Алгол и метеорному потоку Персеид. В мифологии Персей был сыном Зевса от земной женщины. У него была насыщенная жизнь. Персей отрубил голову горгоне Медузе и спас принцессу Андромеду от морского чудовища. Во многом он является архетипом романтического героя. Рыцарь Чаш символизирует такого идеализированного мужчину действия, применяющего свои навыки и действующего в сфере эмоций. Он — рыцарь Грааля на пути бесконечного поиска не материальной выгоды, а новых видений и идеапов. Его идеалистическая энергия подталкивает нас к чему-то большему, чем мы сами."
,Королева Чаш,Андромеда,"Созвездие Андромеды известно тем, что включает в себя одноименную галактику, ближайшую к нашему Млечному Пути. Мифологическую Андромеду, прикованную к морской скале в качестве жертвы для Посейдона, спас из лап морского монстра Персей. Современные женщины, возможно, не увидят в ней архетипа жертвы, но важно помнить, что навязанное бездействие иногда является единственным способом остановить нас в наших делах и заставить предаться размышлениям. Мы живем во власти культуры, основывающейся на утверждении себя через действия. Королева Чаш отражает качества, которыми мы часто пренебрегаем — способностью остановиться, осмыслить и заглянуть внутрь себя. Королева в своем сострадании преобразует эмоциональные качества Чаш так, что мы можем замедлить свой бег и осознать свои эмоции."
,Король Чаш,Нептун,"В нашей солнечной системе Нептун, за исключением Плутона, наиболее удаленная от солнца планета. Это газовый гигант, как и Юпитер ярко-голубого цвета, обусловленного наличием метана в его атмосфере. Нептун в римской мифологии, как и Посейдон в греческой, был богом морей. Нептун отличался своим непредсказуемым темпераментом, впадая в ярость и вызывая шторма в море. Король Чаш лучше контролирует свои эмоции. Он плывет над бушующими морями чувств, а не затягивается в их бездонные глубины. Король Чаш символизирует человека, взявшего эмоции под контроль засчет осознания себя и владения собой."
,Туз Посохов,Фотон,"Фотоны — это частицы, участвующие в электромагнитном взаимодействии (смотри карту Маг). Они составляют свет, ультрафиолетовое, инфракрасное, радио и микроволновое излучение. Туз Посохов знаменует прилив чистой знергии, которая требует физического, сексуального или духовного проявления."
,Двойка Посохов,Формирование Планеты,"Планеты рождаются из дисков пыли и газа под действием гравитации. Так и 2-ка Посохов представляют собой еще не оформившееся видение, идею или проект. Вдохновляющая энергия туза начала уплотняться, но еще нет четкости деталей. После моментальной вспышки требуется процесс уплотнения в форму, чтобы преобразовать вашу идею в полностью развернутый план."
,Тройка Посохов,Скопления Галактик,"То, что звезды группируются в галактики, достаточно очевидно. При этом галактики также образуют большие группы или скопления. Некоторые из них непредставимо большие и включают в себя тысячи галактик, каждая из которых насчитывает миллиарды звезд. Это вселенная во всей ее грандиозности. Требуется значительное усилие, чтобы просто представить себе скопления галактик. Так же и эта карта говорит о необходимости вырваться из ваших самоограничений и мыслить по-крупному. Пришло время нестандартного подхода и отчаянной мечты."
,Четвёрка Посохов,Электрослабое взаимодействие,"Теория электрослабого взаимодействия объединяет две фундаментальные силы — слабую и электромагнитную. Часто изображающая свадьбу, карта 4-ка Посохов представляет объединение в мире людей. Она символизирует успех в совместных начинаниях. Многие аспекты нашего Я или нашей ситуации пришли к единению и гармонии. Стабилизирующая энергия четырех прекрасно проявляется в посохах и приземляет огненную, рвущуюся вперед энергию этой масти, для создания чего-то реального и долговечного."
,Пятёрка Посохов,Аннигиляция Частиц,"Когда частицы материи и антиматерии сталкиваются, то переходят в чистую энергию, которая рождает новые частицы. Этот процесс отражен в игривых столкновениях 5-ки Посохов, своего рода высокоэнергичной, но веселой схватки, являющейся местом рождения новых идей и открытий. Мы встречаем сложности жизни в позитивном и радостном состоянии."
,Шестёрка Посохов,Звезда,"Звезды образуются при зажигании термоядерной реакции в уплотнившемся облоке пыли и газа. После стабилизации этого процесса синтеза звезда продолжает светить миллиарды лет. Рождение звезды является дпительным процессом, завершающимся внезапным всплеском энергии. 6-ка Посохов символизирует этот исключительный момент, напоминая при этом о длительной работе, приведшей к нашему успеху."
,Семёрка Посохов,Столкновения Галактик,"Столкновение галактик похоже на наблюдаемое в замедленной съемке столкновение автомобилей. В течение сотен миллионов лет сталкивающиеся галактики вырывают друг из друга потоки звезд и космической пыли, что провоцирует рождение множества звезд. Столкновение порождает что-то новое, но вместе с теми безвозвратно изменяет обе галактики. 7-ка Посохов означает, что вы столкнулись с кем-то или чем-то, что препятствует достижению вашей цели. Это серьезное столкновение, в отличие от игривого конфликта 5-ки Посохов. Впереди вас ждет битва, требующая всех ваших сил."
,Восьмёрка Посохов,Сверхновая,"Когда очень большая звезда подходит к концу своей жизни, она превращается в сверхновую. Разбрасывая поверхностный материал в пространство, взрывается ядро звезды. Взрывчатая энергия сверхновой отражена в огненной интенсивности 8-ки Посохов. Эта карта является апофеозом пламенеющей энергии Посохов. Урок заключается в проведении и сосредоточении вашего огня на созидательной деятельности."
,Девятка Посохов,Пульсар,"Пульсар — это разновидность нейтронной звезды, излучающей регулярные всплески радиоволн (нейтронные звезды являются маленькими, но сверхплотными остатками больших звезд). Пульсары периодичны и предсказуемы, и это проявление непрекращающегося порядка отражает аспект карты 9-ки Посохов — въевшееся, привычное поведение. Эта карта похожа на старого солдата, сражавшегося настолько долго, что он не может остановиться."
,Десятка Посохов,Нейтронная Звезда,"После смерти большой звезды ее ядро коллапсирует, образуя маленький, яркий и чрезвычайно плотный объект, известный как нейтронная звезда. Нейтронные звезды — это самое тяжелое из всего, что существует, и это верно отражает 1О-ка Посохов. Завершенность, характеризующая десятку, слишком утяжелена в Посохах, и нагрузка становится невыносимой. Это карта человека, любящего держать все под контролем, достигшего критической точки, но не желающего или не способного разделить свою ношу с другими."
,Паж Посохов,Орион,"Со своей характерной формой надломленного креста, созвездие Ориона является одним из наиболее узнаваемых в северном полушарии. Древние египтяне называли его Саху‚ душой Осириса. В мифах Орион был охотником, которого любила Артемида. Аполлон обманом заставил Артемиду убить его, и после этого она в горе поместила его тело на небеса. Орион один из многих среди встречающихся в греческих мифах людей действия. В своей импульсивности он похож на Пажа Посохов. Пажи подобны детям в проявлении своей энергии, и в Посохах этот юношеский энтузиазм проявляется наиболее открыто и вещественно. Паж Посохов провозглашает приход новых идей, проектов и страстей — всего того, что заставляет вас напрячься и быть готовым к действию."
,Рыцарь Посохов,Марс,"Марс когда-то мог быть очень похожим на Землю. Удары астероидов, извержения вулканов и мощные пылевые шторма изменили его, но когда-то на нем была вода и, возможно, жизнь. В мифах Марс является римским богом войны и, как это ни странно, сельского хозяйства. Рыцарь Посохов воплощает воинственную сторону Марса; огненные энергичные качества Посохов находят свой вызов целенаправленной активности. Этот рыцарь не просто боец, его агрессивность отточена навыком и направлена на цель. Негативная его сторона в том, что он может ввязаться в битву лишь для удовольствия ощутить ее энергию."
,Королева Посохов,Венера,"Венера крайне негостеприимна. Ее атмосфера состоит из углекислого газа и серной кислоты, а температура такова, что плавится свинец. Такая непривлекательная картина противоречит образу Венеры как олицетворения любви и красоты. Однако вспомним, что эта мифологическая богиня главенствовала и над эмоциями страсти, что хорошо подходит к ее перегретой и кипящей атмосфере. Королева Посохов, каки римская богиня, чувствует себя достаточно комфортно в бурлении глубоких чувств. Она любит независимость и не боится быть самой собой. Она удерживает огненную энергию Посохов, сохраняя верность своей истинной природе и дерзкому стремлению к великой мечте."
,Король Посохов,Юпитер,"Юпитер самая большая планета солнечной системы, почти мини звезда, окруженная четырьмя большими и 59 меньшими спутниками. Это туманная, беспокойная планета — знаменитое красное пятно, гигантский шторм, бушует уже сотни лет. Юпитер в римской мифологии, как и Зевс у греков, правит всеми остальными богами. Его могучая аура и непревзойденные навыки правителя созвучны Королю Посохов, владычествующему над непредсказуемой, огненной энергией масти. Король не так непосредственен и нетерпелив, как Паж или Рыцарь. Он лучше знает, как перевести творческую вспышку Посохов в плодотворную деятельность."
,Туз Мечей,W и Z Бозоны,"W и Z бозоны являются переносчиками слабого взаимодействия и регулируют скорость атомарного распада. Туз Мечей представляет момент появления идей в сознании. Острие меча выражает неотъемлемую остроту и фокус ментального мира Мечей."
,Двойка Мечей,Темная материя,"Темная материя получила свое название благодаря своей таинственной природе. Оно не взаимодействует с обычной материей вселенной, и ее существование проявляется лишь через ее гравитацию. Когда дуальность двух встречает мир разума, то разделяет его на противоположности. Так и два меча перекрещены, знаменуя ментальный конфликт. Повязка на глазах означает, что мы сами удерживаем себя «в темноте» за счет разрушительных ментальных привычек или неприятия очевидного."
,Тройка Мечей,Красный Карлик,"Красный карлик это своего рода недоносок среди звезд. Он примерно в два раза меньше нашего солнца, не вышел по габаритам и мощности, чтобы ярко сиять на небосклоне, и поэтому легко теряется на фоне своих больших братьев. Здесь синтетическая энергия трех проявляется как ранимость и боль. Кто-то ударил ножом вам в сердце. 3-ка Мечей говорит о необходимости осознания наших ран, открывая путь к освобождению от боли."
,Четвёрка Мечей,Нейтрино,"Нейтрино не обладают электрическим зарядом и пренебрежимо легки, что позволяет им практически не взаимодействовать с веществом вселенной. Они постоянно пронзают нас и Землю, никак при этом не проявляясь. Спокойные, не реагирующие нейтрино хорошо передают успокаивающее влияние 4-ки Мечей. Здесь стабильность энергии четырех утихомиривает ментальную энергию Мечей. Это время для размышления, спокойного созерцания и медитации."
,Пятёрка Мечей,Белый Карлик,"Звезда умирает, когда полностью выработает свое водородное топливо. Средняя по размеру звезда, такая как наше Солнце, при этом сбрасывает свои поверхностные слои, а ее ядро коллапсирует в маленький, размером с планету, объект, называемый белым карликом. По сравнению с полноценной звездой, он кажется хилым и незначительным. 5-ка Мечей выражает воинственную энергию пяти через негативное сравнение. С 5-кой Мечей всегда приходит победитель и побежденный; победа за чей-то счет. Это карта насильника и жертвы; победитель забирает все, при этом отсутствуют проявления справедливости или морали."
,Шестёрка Мечей,Фермионы и бозоны,"Фермионы и бозоны составляют две группы элементарных частиц, отличающиеся значением спина. Спин это квантовое число, которое характеризует особую разновидность момента частицы, а не ее реальное вращение. Атомы состоят и фермионов, а бозоны являются переносчиками фундаментальных сил, действующих в атоме. Два фермиона, пребывающие в одинаковом состоянии, не могут сосуществовать одновременно в одном и том же месте, а бозоны могут. 6-ка Мечей описывает похожее правило нашей жизни — невозможность быть одновременно в одном и том же месте самими собой и кем-то иным. Это карта перехода на новые территории для спасения нашего внутреннего мира. Здесь гармония шести появляется вследствие движения вперед. В отличие от 6 Чаш, смотрящих назад, эти шесть находят успокоение в движении в будущее."
,Семёрка Мечей,Радиоактивность,"Некоторые из атомных ядер по своей природе являются неустойчивыми. Они могут самопроизвольно испускать частицы, создающие радиоактивность. Все радиоактивные частицы потенциально опасны, но некоторые из них особенно. Самая слабая форма радиоактивности, альфа частицы, блокируется листом бумаги, а гамма излучение может быть остановлено лишь толстым слоем свинца. Радиация невидима, но пагубна для живого. Мы не можем определить ее присутствие без специального измерительного оборудования. Подобно этой, 7-ка Мечей описывают ситуацию, где проявляются неизвестные и напрямую невидимые силы. Это карта использования искусности или коварства в конфликте. В лучшем случае вы имеете дело с умным стратегом, в худшем же — с подлецом, аферистом или обманщиком. Сейчас не лучшее время для открытости и прямоты. Не открывайте ваши карты."
,Восьмёрка Мечей,Удержание кварков/цветового заряда,"Кварки — это фундаментальные частицы в ядре атома, характеризующиеся электрическим и цветовым зарядом. Последний не имеет ничего общего с видимыми цветами, а введен для удобства описания сильного взаимодействия, связывающего кварки между собой и ответственного за стабильность атомного ядра. 8-ка Мечей характеризуют подобное чувство связанности или ограниченности, возникающее под влиянием непреодолимой силы. В воздушном королевстве Мечей это связанность идеями и мыслеформами. Нас угнетают и лишают свободы, но при этом рождается понимание того, что в нас самих сокрыт ключ к освобождению."
,Девятка Мечей,Аннигиляция материи/антиматерии,"Каждая из материальных частиц имеет соответствующую ей античастицу. Например, каждому кварку соответствует антикварк, электрону — позитрон и нейтрино — антинейтрино. При встрече подобные частицы аннигилируются, превращаясь во вспышку энергии. Свое яркое выражение идея самоуничтожения находит в карте 9-ка Мечей, полной сомнений, волнений и страхов. Часто эти страхи бесформенны и не проявлены, являясь продуктами невротического цикла саморазрушения, а не реальных, жизненных проблем."
,Десятка Мечей,Смерть Звезды,"Очень большие звезды умирают во впечатляющем взрыве, становясь сверхновыми. При этом они сбрасывают поверхностные слои, которые окружают их облаками пыли и газа. Гравитация првращает это облака в красивые формы и структуры, известные как планетарные туманности. 10-ка Мечей показывает ситуацию, где недавно случилось самое худшее. Сверхновая вашей жизни взорвалась, и вы наблюдаете последствия этого взрыва. Эту карту не любят и не жаждут ее появления в раскладе, но у нее есть и положительная сторона. Вы упали на самый низ, и теперь единственный путь — вверх. Узрите рождение новой зари."
,Паж Мечей,Меркурий,"Меркурий — это ближайшая к Солнцу планета и самая маленькая после Плутона. Поверхность его, как и Луны, испещрена астероидными кратерами, а атмосфера крайне разрежена. Меркурий в римской мифологии был посланцем богов, а в греческой ему соответствовал Гермес. Он правитель всех способов связи, от речи и письма до интернета. Пажа Мечей характеризует ненасытная, неразборчивая страсть к сбору информации. Он может временами быть поверхностным и болтливым, но в своей сути представляет любопытного ребенка с вечным «почему?»."
,Рыцарь Мечей,Геракл/Геркулес,"Созвездие Геркулеса содержит хорошо известное скопление Геркулеса, являющееся одним из красивейших шаровых скоплений звездного неба. Мифологический Геркулес символизирует физическую силу. Он был сыном Зевса и смертной женщины, возлюбленный всеми богами, кроме Геры, жены Зевса. Его известные подвиги явились следствием кампании преследования, развязанной против него Герой. Как и Геркулес, Рыцарь Мечей никогда не уходит от конфликта, хотя чаще он вооружен словами, а не оружием. Этот рыцарь сражается в мире разума и превосходен в защите правого дела. Он нуждается в цели для приложения своей энергии или может начать ссору на пустом месте."
,Королева Мечей,Кассиопея,"Созвездие Кассиопеи легко увидеть в небе северного полушария, благодаря его характерной W форме. В мифологии Кассиопея попала в неприятности, утверждая, что более красива, чем морские нимфы. Это вызвало гнев непредсказуемого морского бога. В наказание ее дочь Андромеда была прикована к скале у моря в качестве жертвоприношения морскому чудовищу. Она также пыталась убить Персея, спасителя ее дочери, на их свадьбе. Ассирийцы были лучшего мнения о Кассиопее, считая ее доброй богиней зерновых культур. Королева Мечей обладает мудростью, приобретенной через опыт и, часто, страдания. Она отточила меч своего разума и в своей зрелости мудро пользуется им. Она может сдерживать ментальную энергию Мечей и знает когда говорить, а когда промолчать."
,Король Мечей,Уран,"Уникальной чертой Урана является факт того, что он вращается как бы лежа на боку. Его магнитное поле также со странностями; очень мощное и смещенное на треть от центра планеты. В греческой мифологии Уран был богом неба, мужем Гаи. Воздушное королевство Урана знакомо Королю Мечей, который представляет собой власть над разумом. Этот король объективен, отстранен и мыслит ясно. Его решения не подвержены влиянию эмоций и желаний. Подобно необычному положению оси вращения Урана, он может менять позицию своего видения и видеть мир с неожиданной перспективы."
Дополнительный старший Аркан,Феникс,,"Феникс — это сказочная птица из финикийской мифологии. В конце своей жизни она вспыхивает пламенем и сгорает до пепла, и новый Феникс возрождается из этих останков. Он символизирует цикл перемен — смерть и рождение. В Квантовом Таро карта Феникс означает возрождение Дурака в начале нового цикла. Мы продолжаем путешествие через Старшие Арканы с невинностью и открытостью Дурака, но в этот раз мы несем в себе память того, что мы осознали."
Дополнительный старший Аркан,Вселенная,,"Вселенная образовалась около 15 миллиардов лет назад в огромном взрыве. Четыре фундаментальных силы и все частицы и материя образовались в первые несколько моментов после взрыва, но потребовались миллионы лет для формирования звезд и галактик. Вселенная всегда расширяется благодаря энергии породившего ее взрыва. Карта Вселенная похожа на карту Мир, однако требует расширения нашего сознания. Она требует от нас смены парадигмы реализации того, что воспринимаемая реальность является лишь мельчайшей пылинкой того, что есть."
